FECHA,LOTE,DENOMINACIÓN/     MARCA,CANTIDAD,%H,MALLAS,VERIFICACIÓN FISICA CAFÉ TOSTADO,NOTAS DE CATACIÓN,PUNTAJE,LIBERACIÓN DE LOTE,RESPONSABLE,VARIEDAD_ESTANDAR,PROCESO,ORIGEN,TIEMPO_TUESTE_MEDIAN,BENEFICIO
20-10-23 ,04-201023 ,Doña Rosalba,96.0,10.6,14,C,"Uva, flor de naranja, acidez brillante, cuerpo cremoso y final dulce como la melaza",85,Si,LFQ,Otros,,NAN,492.0,
20-10-23 ,10-201023 ,Doña Liceth,96.0,10.4,14,C,"Caña de azucar, nueces, acidez citrica como la naranja, cuerpo medio, final prolongado",84.5,Si,LFQ,Otros,,NAN,492.0,
30-10-23,02-301023,Madre Laura Natural,24.0,10.8,14,C,"Cacao, frutos rojos, cuerpo cremoso, acidez brillante, final frutal",85,Si,LFQ,Dos mil,Tradicional,JERICO,495.0,Lavado 
30-10-23,11-301023,Monteverde - Wush Wush,22.0,10.2,14,C,"Sandia, caramelo, cedro, cuerpo cremoso, acidez brillante, final dulce",89,SI,LFQ,Wush Wush,Natural ,HERRERA,490.0,Natural 
14-11-23 ,09-141123 ,Tabi Natural,47.0,10.5,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,Si,LFQ,Otros,,NAN,492.0,
14-11-23 ,01-141123 ,Madre Laura Lavado,312.0,10.4,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,Si,LFQ,Otros,,NAN,492.0,
14-11-23,17-141123 ,Familia Bedoya Castaño,35.0,10.8,14,C,"Chocolate dulce, ciruela madura, cuerpo cremoso, acidez malica brillante, final especiado como clavos de olor ",87,Si,LFQ,Otros,,NAN,492.0,
2023-11-12 00:00:00,08-111223,Gesha Villabernarda,15.0,10.6,14,C,"Jazmin, mandarina, acidez jugosa, cuerpo sedoso y final frutal ",86,Si,LFQ,Gesha,Honey ,JERICO,489.0,Honey 
2023-11-12 00:00:00,02-111223 ,Madre Laura Natural,20.0,10.8,14,C,"Cacao, frutos rojos, cuerpo cremoso, acidez brillante, final frutal",85,Si,LFQ,Dos mil,Tradicional,JERICO,495.0,Lavado 
2023-11-12 00:00:00,05-111223 ,Doña Dolly,15.0,10.5,14,C,"Frambuesa, miel, acidez brillante citrica como mandarina, cuerpo cremoso medio y final frutal prolongado. 
",85,Si,LFQ,Dos mil,Tradicional,JERICO,495.0,Lavado 
19-12-23,01-191223,Madre Laura,50.0,10.4,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,Si,LFQ,Otros,,NAN,492.0,
22-12-23 ,18-221223,Don Johan,35.0,10.5,14,C,"Limonaria, panela, acidez jugosa, cuerpo medio, residual frutal a naranja",86,Si,LFQ,Dos mil,Tradicional,JERICO,495.0,Lavado 
22-1-24 ,01-220124,Madre Laura,23.0,10.6,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,Si,LFQ,Otros,,NAN,492.0,
22-2-24,02-220124,Madre Laura Natural,20.0,10.8,14,C,"Cacao, frutos rojos, cuerpo cremoso, acidez brillante, final frutal",85,Si,LFQ,Dos mil,Tradicional,JERICO,495.0,Lavado 
